Ação,Data,Abertura,Fechamento,Min,Max,Volume
BTAL11,2025-09-23,80.02,79.56,79.5,80.4,
RBVA11,2025-09-23,9.49,9.5,9.43,9.56,
TOTS3F,2025-09-23,45.72,45.2,45.2,46,
CEBR6F,2025-09-23,24.28,24.68,24.17,24.68,
LFTS11,2025-09-23,140.16,140.14,140.07,140.25,
UNHH34,2025-09-23,26.17,26.34,25.93,26.7,
CMIG4,2025-09-23,11.29,11.42,11.28,11.47,
BROF11,2025-09-23,53.1,54,52.26,54,
SHUL4,2025-09-23,4.83,4.91,4.8,4.91,
AIEC11,2025-09-23,50.55,51.1,50.55,51.1,
BRKMJ800,2025-09-23,0.69,0.57,0.57,0.75,
HABT11,2025-09-23,77.21,77.38,77.08,77.61,
FATN11,2025-09-23,85.37,85.25,84.55,85.38,
SAPR11F,2025-09-23,36.48,37.29,36.37,37.29,
PFIZ34,2025-09-23,31.95,31.71,31.71,32.29,
VGRI11,2025-09-23,8.65,8.64,8.64,8.67,
ENGIJ521,2025-09-23,1.07,1.46,1.06,1.46,
UNIP6F,2025-09-23,73.61,73.38,73.38,74.36,
LILY34,2025-09-23,133.9,131.65,131.08,133.9,
ODPV3,2025-09-23,13.02,13.16,13.02,13.25,
RYTT34,2025-09-23,141.68,140.57,140.14,143,
L1MN34,2025-09-23,33.35,30.8,30.58,33.68,
RZAK11,2025-09-23,81.64,81.7,81.64,81.98,
GFDL11,2025-09-23,106.66,106.66,106.66,106.66,
BCRI11,2025-09-23,63.51,62.82,62,63.57,
PLAG11,2025-09-23,49.75,49.8,49.52,49.8,
TUPYK145,2025-09-23,0.44,0.47,0.44,0.48,
VULC3F,2025-09-23,19.73,19.76,19.55,19.92,
RZAT11,2025-09-23,89.99,90.07,89.55,90.3,
VIUR11,2025-09-23,5.57,5.63,5.57,5.69,
TAEEK376,2025-09-23,0.69,0.98,0.69,1.02,
RANIW812,2025-09-23,0.16,0.16,0.16,0.16,
ITIP11,2025-09-23,64.35,64.03,64.03,64.65,
BEEFK595,2025-09-23,0.71,0.7,0.7,0.72,
TGMA3F,2025-09-23,36.62,36.55,36.55,37.27,
V1TA34,2025-09-23,179.82,182.52,179.46,182.52,
CMIGK129,2025-09-23,0.2,0.22,0.2,0.24,
HGBL11,2025-09-23,8.45,8.43,8.33,8.5,
RRCI11,2025-09-23,82.65,82.58,82.58,82.65,
BRKMW820,2025-09-23,0.5,0.53,0.5,0.56,
M1MC34,2025-09-23,519.4,518.88,518.88,519.4,
MCDC34,2025-09-23,80.02,80.11,79.57,81.24,
PEPB34,2025-09-23,50,49.94,49.52,50.24,
PMIS11,2025-09-23,7.8,7.76,7.75,7.83,
MANA11,2025-09-23,8.81,8.85,8.79,8.86,
RNEW3F,2025-09-23,1.11,1.08,1.08,1.11,
CSNAX700,2025-09-23,0.2,0.2,0.18,0.21,
ENEVJ165,2025-09-23,0.48,0.55,0.45,0.55,
K2CG34,2025-09-23,14.22,14.23,14.11,14.51,
CSNAV769,2025-09-23,0.18,0.17,0.14,0.18,
BRKMV740,2025-09-23,0.1,0.1,0.07,0.11,
MULTV288,2025-09-23,0.61,0.47,0.47,0.61,
TELB4,2025-09-23,9.3,9.4,9.25,9.49,
GSFI11,2025-09-23,9.49,9.45,9.24,9.49,
ZAVC11,2025-09-23,8.94,8.98,8.88,8.99,
U1BE34,2025-09-23,133.62,129.3,129.05,133.75,
JPPA11,2025-09-23,78.46,78.84,77.7,78.96,
TAEEK381,2025-09-23,0.52,0.68,0.52,0.72,
EGIEV406,2025-09-23,0.38,0.38,0.33,0.43,
P2AN34,2025-09-23,18.56,17.69,17.69,18.56,
BRKMJ740,2025-09-23,1.15,1,1,1.22,
BRKMW720,2025-09-23,0.2,0.2,0.2,0.2,
U2ST34,2025-09-23,12.05,11.72,11.72,12.08,
CPFEV387,2025-09-23,0.5,0.33,0.33,0.5,
MYPKW130,2025-09-23,0.66,0.66,0.66,0.66,
ELETW47,2025-09-23,0.59,0.59,0.57,0.6,
PNVLV925,2025-09-23,0.06,0.06,0.06,0.06,
BRKMV880,2025-09-23,0.61,0.71,0.55,0.72,
CPLEJ133,2025-09-23,0.14,0.19,0.12,0.19,
ALPA3,2025-09-23,9.17,9.07,9,9.17,
TRXY11,2025-09-23,9.38,9.35,9.22,9.4,
VERZ34,2025-09-23,38.36,38.04,37.99,38.36,
BMLC11,2025-09-23,94.99,94.99,94.03,94.99,
CTSA3F,2025-09-23,3.98,3.98,3.98,3.98,
MULTK286,2025-09-23,1.59,2,1.59,2,
WHRL4,2025-09-23,4.91,4.93,4.89,4.95,
BRKMJ760,2025-09-23,0.98,0.88,0.85,1.05,
RADLJ188,2025-09-23,0.45,0.59,0.45,0.7,
EUCA4F,2025-09-23,17.75,17.55,17.48,17.9,
RIGG34,2025-09-23,18.65,18.71,18.65,20,
UPSS34,2025-09-23,28.14,28.82,27.81,28.82,
BRKMV890,2025-09-23,0.68,0.79,0.62,0.79,
CPFEK382,2025-09-23,2.52,2.68,2.52,2.68,
MULTW283,2025-09-23,0.77,0.63,0.63,0.77,
ELETK545,2025-09-23,0.89,0.9,0.89,0.92,
ELETW452,2025-09-23,0.3,0.19,0.19,0.3,
PTNT4,2025-09-23,4.46,4.6,4.46,4.6,
M1DB34,2025-09-23,84.22,83.97,83.97,84.22,
CMIGJ133,2025-09-23,0.01,0.02,0.01,0.02,
IBBP11,2025-09-23,7.6,7.59,7.59,7.6,
EGIEK423,2025-09-23,1.62,1.56,1.49,1.65,
TOTSK403,2025-09-23,6.22,5.99,5.99,6.22,
LASC11,2025-09-23,87.11,88,87.1,88.67,
WHRL3F,2025-09-23,4.55,4.41,4.41,4.61,
EGIEW413,2025-09-23,0.84,0.88,0.84,0.92,
CSNAI800W4,2025-09-23,0.1,0.1,0.1,0.1,
TUPYV125,2025-09-23,0.08,0.08,0.07,0.08,
M2PR34,2025-09-23,81.77,80.4,80.4,81.77,
JHSFW620,2025-09-23,0.22,0.22,0.22,0.23,
NAVT11,2025-09-23,70.91,70.9,70.08,70.92,
M2RV34,2025-09-23,40.21,39.46,39.3,40.5,
ELETL56,2025-09-23,0.7,0.81,0.7,0.81,
O1KT34,2025-09-23,24.81,24.41,24.41,24.81,
ELETJ528,2025-09-23,1.43,1.85,1.34,1.85,
M1UF34,2025-09-23,87.93,84.42,84.42,87.93,
COCE5,2025-09-23,28.72,30,28.72,30.29,
ENGIV511,2025-09-23,0.93,0.86,0.86,0.93,
MGHT11,2025-09-23,16.54,16.35,16,16.54,
BEEFJ621,2025-09-23,0.4,0.38,0.38,0.41,
CMIGJ130,2025-09-23,0.02,0.03,0.02,0.03,
FDES11F,2025-09-23,0.39,0.37,0.37,0.44,
EGIEJ410,2025-09-23,1.83,1.7,1.48,1.83,
HSRE11,2025-09-23,101.1,101.2,101.1,101.2,
VVRI11,2025-09-23,79.99,86.37,79.99,86.37,
EGIEK443,2025-09-23,0.77,0.68,0.68,0.77,
JFLL11,2025-09-23,67.01,67.64,67,67.72,
BEEFV561,2025-09-23,0.01,0.01,0.01,0.01,
CPFEV369,2025-09-23,0.11,0.1,0.1,0.11,
MNDL3,2025-09-23,18.85,18.85,18.85,18.85,
ELETK585,2025-09-23,0.15,0.22,0.15,0.22,
EQTLV370,2025-09-23,0.66,0.62,0.61,0.66,
EGIEV385,2025-09-23,0.11,0.11,0.09,0.12,
EGIEV446,2025-09-23,2.45,2.47,2.45,2.7,
EZTCJ172,2025-09-23,0.64,0.7,0.61,0.7,
TAEEW335,2025-09-23,0.11,0.13,0.11,0.13,
ELETW513,2025-09-23,0.47,0.47,0.46,0.55,
MULTK291,2025-09-23,1.31,1.63,1.31,1.63,
MARG11,2025-09-23,107.69,107.79,107.69,107.79,
CMIGV118,2025-09-23,0.1,0.07,0.06,0.1,
BIOM14F,2025-09-23,2.3,1.25,1.25,2.3,
CTSA3,2025-09-23,2.89,2.89,2.89,2.89,
ELETV493,2025-09-23,0.27,0.25,0.25,0.27,
LEVEJ295,2025-09-23,0.03,0.02,0.02,0.03,
BEEFJ641,2025-09-23,0.45,0.28,0.27,0.45,
JHSFG604,2025-09-23,1.12,1.14,1.12,1.14,
UNIPK730,2025-09-23,3.79,3.7,3.7,4.05,
EKTR3F,2025-09-23,48,48.98,48,49,
BRKMW880,2025-09-23,0.76,0.82,0.76,0.82,
MOOO34,2025-09-23,341.7,341.7,341.7,341.7,
V1OD34,2025-09-23,30.26,30.06,29.94,30.26,
ELETV483,2025-09-23,0.2,0.17,0.15,0.2,
MRSA3BF,2025-09-23,27.45,27.88,27.45,27.88,
GLOG11,2025-09-23,67.99,65.61,65.61,68,
RADLK198,2025-09-23,0.66,0.8,0.65,0.8,
EGIEJ395,2025-09-23,2.86,2.83,2.63,2.86,
CPLEW123,2025-09-23,0.15,0.13,0.13,0.15,
EZTCK172,2025-09-23,1.14,1.14,1.14,1.14,
BEEFW665,2025-09-23,0.44,0.47,0.42,0.47,
BEEFV641,2025-09-23,0.32,0.25,0.22,0.32,
CMIGK131,2025-09-23,0.12,0.15,0.12,0.16,
ELETI480W4,2025-09-23,2.67,2.67,2.67,2.67,
BRKMW800,2025-09-23,0.39,0.4,0.38,0.4,
NEXT34,2025-09-23,96.3,95.22,95.22,96.3,
QTOP39,2025-09-23,56.36,54.51,54.51,56.36,
SAPP34,2025-09-23,1407.22,1407.22,1407.22,1407.22,
EQTLV343,2025-09-23,0.1,0.11,0.1,0.11,
CMIGX933,2025-09-23,0.01,0.01,0.01,0.01,
FPAB11,2025-09-23,208,208,208,208,
PRSN11,2025-09-23,1.06,1.06,1.06,1.06,
MAGM11,2025-09-23,10,10,10,10,
JHSFJ547,2025-09-23,0.92,0.92,0.92,0.92,
CPLEJ143,2025-09-23,0.01,0.01,0.01,0.01,
CMIGK136,2025-09-23,0.06,0.06,0.06,0.06,
TAEEW356,2025-09-23,0.2,0.2,0.2,0.2,
BRKMR900,2025-09-23,1.14,1.14,1.14,1.14,
JHSFJ687,2025-09-23,0.06,0.05,0.05,0.06,
BEEFJ720,2025-09-23,0.71,0.7,0.7,0.71,
MYPKV133,2025-09-23,0.82,0.87,0.82,0.87,
AURB11,2025-09-23,72.8,72.8,72.8,72.8,
GSHP3F,2025-09-23,2.71,3.22,2.71,3.22,
ALMI11,2025-09-23,576,570,570,576,
SMFTV248,2025-09-23,0.23,0.23,0.23,0.23,
EQTLW338,2025-09-23,0.27,0.25,0.25,0.27,
S2RE34,2025-09-23,95,90.99,90.99,95.85,
CMIGL2,2025-09-23,0.75,0.77,0.75,0.77,
CSNAK899,2025-09-23,0.24,0.22,0.22,0.24,
EGIEV451,2025-09-23,2.9,3.12,2.9,3.13,
JHSFJ577,2025-09-23,0.61,0.65,0.61,0.65,
GEPA3,2025-09-23,33.9,33.9,33.9,33.9,
CSNAW939,2025-09-23,1.29,1.29,1.29,1.29,
ELETJ441,2025-09-23,11.77,11.58,11.58,11.77,
MYPKJ153,2025-09-23,0.01,0.01,0.01,0.01,
CPFEJ414,2025-09-23,0.21,0.21,0.21,0.21,
ELETW478,2025-09-23,0.82,0.66,0.66,0.82,
HBCR11,2025-09-23,138,138,138,138,
ELETV528,2025-09-23,1.02,0.79,0.76,1.06,
TAEEL361,2025-09-23,1.72,1.72,1.72,1.72,
CPFEJ404,2025-09-23,0.4,0.55,0.4,0.55,
TUPYW115,2025-09-23,0.08,0.08,0.08,0.08,
RBDS11,2025-09-23,2.4,2.4,2.4,2.4,
EGIEJ436,2025-09-23,0.4,0.37,0.32,0.4,
ELETV463,2025-09-23,0.08,0.09,0.07,0.09,
EQTLW348,2025-09-23,0.36,0.37,0.36,0.38,
CSNAX780,2025-09-23,0.42,0.42,0.42,0.42,
S1LG34,2025-09-23,163.68,163.68,163.68,163.68,
S1RE34,2025-09-23,113.09,113.09,113.09,113.09,
EGIEK448,2025-09-23,0.55,0.55,0.55,0.55,
ELETI470W4,2025-09-23,3.65,3.65,3.65,3.65,
ANCR11,2025-09-23,849.98,849.98,849.9,849.98,
EQTLV360W2,2025-09-23,0.23,0.23,0.23,0.23,
RADLL209,2025-09-23,0.62,0.6,0.59,0.62,
ENGIW510,2025-09-23,1.82,1.86,1.82,1.86,
RADLL215,2025-09-23,0.51,0.52,0.48,0.52,
