Ativo,DataPregao,Abertura,Fechamento,PrecoMin,PrecoMax,Volume
BBASJ203,2025-10-07,1.14,1.14,0.99,1.18,35
BBASW205W1,2025-10-07,0.29,0.3,0.29,0.36,17
HAPVK40,2025-10-07,0.85,0.94,0.85,0.96,6
BBASK166,2025-10-07,5,4.96,4.81,5.01,15
B3SAK127,2025-10-07,0.61,0.41,0.39,0.61,44
BBASL216,2025-10-07,1.12,1.11,1.11,1.14,6
USIMJ430W2,2025-10-07,0.19,0.14,0.13,0.19,5
USIMK430,2025-10-07,0.39,0.33,0.33,0.39,5
USIMO500,2025-10-07,0.6,0.62,0.6,0.62,2
BBASL253,2025-10-07,0.22,0.22,0.19,0.37,5
B3SAK157,2025-10-07,0.03,0.03,0.03,0.03,3
USIMK475,2025-10-07,0.19,0.16,0.16,0.19,3
B3SAV127W2,2025-10-07,0.34,0.4,0.34,0.43,14
B3SAJ119,2025-10-07,0.74,0.5,0.5,0.74,23
BBASJ200W2,2025-10-07,1.25,1.21,1.21,1.25,2
BBASW200W1,2025-10-07,0.2,0.18,0.18,0.29,14
BBASJ195W2,2025-10-07,1.85,1.79,1.69,1.85,4
BBASJ240W4,2025-10-07,0.03,0.04,0.03,0.04,3
BBASV259,2025-10-07,4.29,4.29,4.29,4.29,1
USIMJ442,2025-10-07,0.17,0.1,0.1,0.18,25
BBASV175,2025-10-07,0.01,0.01,0.01,0.02,7
B3SAV120W2,2025-10-07,0.04,0.08,0.03,0.08,13
B3SAK112,2025-10-07,1.5,1.36,1.35,1.5,7
HAPVJ355,2025-10-07,0.96,0.82,0.69,1.03,7
BBASJ183,2025-10-07,2.96,2.92,2.92,2.96,3
BBASV200W5,2025-10-07,0.12,0.17,0.12,0.18,15
USIMW395,2025-10-07,0.07,0.08,0.07,0.08,5
HAPVL299,2025-10-07,0.58,0.5,0.5,0.58,8
BBASW195W1,2025-10-07,0.14,0.12,0.12,0.14,4
BBASE213,2025-10-07,2.7,2.69,2.69,2.7,11
HAPVJ360,2025-10-07,0.73,0.49,0.48,0.73,8
BBASM213,2025-10-07,0.9,0.9,0.9,0.9,3
USIMJ605,2025-10-07,0.85,0.84,0.84,0.85,2
BBASM190,2025-10-07,0.29,0.29,0.29,0.29,2
HAPVJ347,2025-10-07,1.1,1.04,1,1.1,5
CVCBW175,2025-10-07,0.08,0.1,0.08,0.1,2
CVCBJ185,2025-10-07,0.02,0.02,0.02,0.02,2
USIMK425,2025-10-07,0.45,0.45,0.45,0.45,1
BBASX280,2025-10-07,3.6,3.6,3.6,3.6,2
CVCBT30,2025-10-07,1.15,1.12,1.12,1.15,2
USIMK465,2025-10-07,0.25,0.18,0.18,0.25,7
HAPVW202,2025-10-07,0.03,0.05,0.03,0.05,2
B3SAJ803,2025-10-07,4.6,4.6,4.6,4.6,1
BBASW282,2025-10-07,6.1,6.32,6.1,6.32,2
HAPVV360,2025-10-07,1.06,1.12,1.06,1.44,4
BBASV246,2025-10-07,2.95,2.92,2.89,3.08,7
BBASX228,2025-10-07,1.38,1.36,1.35,1.39,5
B3SAJ109,2025-10-07,1.4,1.46,1.4,1.46,2
BBASW139,2025-10-07,0.02,0.02,0.02,0.02,3
HAPVK432,2025-10-07,0.55,0.56,0.55,0.56,2
BBASF284,2025-10-07,0.6,0.6,0.6,0.6,1
USIMJ430W4,2025-10-07,0.28,0.23,0.23,0.28,3
HAPVW290,2025-10-07,0.56,0.51,0.51,0.56,2
BBASV175W2,2025-10-07,0.01,0.01,0.01,0.01,1
BBASK161,2025-10-07,5.4,5.4,5.4,5.4,1
BBASM286,2025-10-07,6.03,6.03,6.03,6.03,1
USIMW415,2025-10-07,0.1,0.13,0.1,0.13,4
B3SAR139,2025-10-07,1.25,1.25,1.25,1.25,1
USIMM462,2025-10-07,0.37,0.37,0.37,0.37,1
B3SAV120W5,2025-10-07,0.15,0.15,0.15,0.15,1
BBASV148,2025-10-07,0.01,0.01,0.01,0.01,1
BBASV210,2025-10-07,0.6,0.84,0.6,0.84,4
B3SAX120,2025-10-07,0.39,0.4,0.39,0.4,2
HAPVJ355W5,2025-10-07,1.41,1.38,1.38,1.42,12
USIMW490,2025-10-07,0.54,0.53,0.53,0.54,5
USIMJ427,2025-10-07,0.19,0.2,0.19,0.2,3
B3SAM118,2025-10-07,0.33,0.37,0.33,0.37,4
HAPVJ375W5,2025-10-07,0.59,0.59,0.56,0.61,8
CVCBV169,2025-10-07,0.02,0.02,0.02,0.02,1
BBASR221,2025-10-07,1.44,1.44,1.44,1.44,2
HAPVJ395W5,2025-10-07,0.23,0.22,0.22,0.23,2
USIMW380,2025-10-07,0.05,0.05,0.05,0.05,3
BBASK200W1,2025-10-07,1.7,1.7,1.7,1.7,1
HAPVV332,2025-10-07,0.24,0.24,0.24,0.24,1
CVCBV480,2025-10-07,3.04,3.04,3.04,3.04,2
B3SAK876,2025-10-07,3.71,3.71,3.71,3.71,1
CVCBW220,2025-10-07,0.42,0.42,0.42,0.42,2
CVCBW500,2025-10-07,2.17,2.17,2.17,2.17,2
BBASV281,2025-10-07,6.5,6.5,6.5,6.5,1
USIMV387,2025-10-07,0.01,0.01,0.01,0.01,1
B3SAB15,2025-10-07,1.65,1.55,1.55,1.65,2
USIMG50,2025-10-07,1.03,1.03,1.03,1.03,1
CVCBL195,2025-10-07,0.1,0.1,0.1,0.1,1
USIMV407,2025-10-07,0.02,0.02,0.02,0.02,1
BBASV165W4,2025-10-07,0.01,0.01,0.01,0.01,1
CVCBV240,2025-10-07,0.65,0.65,0.65,0.65,1
BBASW144,2025-10-07,0.02,0.02,0.02,0.02,1
HAPVJ310,2025-10-07,4.28,4.28,4.28,4.28,1
USIMU710,2025-10-07,1.95,1.95,1.95,1.95,1
USIM5T,2025-10-07,4.59,4.42,4.41,4.6,10
HAPV3T,2025-10-07,35.81,35.82,35.81,35.82,2
BBAS3T,2025-10-07,21.34,21.35,21.34,21.35,2
USIM5T,2025-10-07,4.68,4.69,4.68,4.69,2
CVCB3T,2025-10-07,1.76,1.77,1.76,1.77,2
HAPV3T,2025-10-07,35.56,35.57,35.56,35.57,2
IRBR3,2025-10-07,48.2,48.01,47.6,48.3,3551
LRENV145,2025-10-07,0.47,0.92,0.41,0.97,80
ITLC34,2025-10-07,32.68,33.19,32.39,33.87,756
LRENV161,2025-10-07,1.64,2.3,1.63,2.34,80
MGLUJ999,2025-10-07,0.14,0.14,0.11,0.14,31
C2OI34,2025-10-07,82.17,80,77.75,82.48,714
MGLUK804,2025-10-07,1.32,1.32,1.21,1.33,39
MGLUJ101,2025-10-07,0.1,0.12,0.09,0.12,63
B1SX34,2025-10-07,516.06,513.06,512.05,516.06,177
LRENW135W2,2025-10-07,0.63,0.61,0.61,0.63,2
MGLUV909,2025-10-07,0.65,0.53,0.53,0.66,55
LRENJ142,2025-10-07,0.45,0.19,0.16,0.46,94
LRENW135W1,2025-10-07,0.6,0.6,0.58,0.6,20
LRENC191,2025-10-07,0.29,0.24,0.24,0.29,2
LRENW150,2025-10-07,0.94,1.37,0.92,1.4,116
BIVE39,2025-10-07,73,73.99,73,74.27,37
MGLUK894,2025-10-07,0.62,0.88,0.62,0.88,47
COWC34,2025-10-07,121.08,121.93,120.3,122.49,36
IRBRV447,2025-10-07,0.11,0.12,0.11,0.45,18
BEWT39,2025-10-07,58,57.88,57.88,58.25,6
LRENV137,2025-10-07,0.15,0.4,0.15,0.45,29
A1PL34,2025-10-07,141.65,147.01,141.65,148.43,4
C2RW34,2025-10-07,120.57,117.77,115.93,120.57,63
MGLUK854,2025-10-07,1,1.08,0.95,1.08,12
MGLUW874,2025-10-07,0.7,0.79,0.7,0.88,9
MGLUW644,2025-10-07,0.15,0.14,0.14,0.15,5
LRENV147,2025-10-07,0.74,1.14,0.74,1.14,17
ARGT39,2025-10-07,36.95,36.47,36.15,37,55
LRENW983,2025-10-07,0.02,0.03,0.02,0.03,5
MGLUW834,2025-10-07,0.67,0.63,0.61,0.67,11
AXPB34,2025-10-07,177.53,175.32,174.25,177.53,14
MGLUW894,2025-10-07,0.96,0.89,0.89,1.02,30
ELCI34,2025-10-07,20.1,20.46,20.1,20.46,7
LRENW148,2025-10-07,0.86,1.21,0.86,1.24,29
MGLUJ849,2025-10-07,0.66,0.67,0.61,0.67,4
BFXI39,2025-10-07,44.59,43.88,43.77,44.59,8
BOEI34,2025-10-07,1179.7,1186.38,1170.99,1186.99,11
HOME34,2025-10-07,73.66,73.85,73.55,74.06,18
LRENW160,2025-10-07,1.58,2.13,1.58,2.15,16
CLOV34,2025-10-07,14.6,14.5,14.5,14.75,7
MGLUJ126,2025-10-07,0.01,0.01,0.01,0.01,5
C1MG34,2025-10-07,10.89,10.95,10.89,11.09,6
MGLUJ929,2025-10-07,0.35,0.3,0.24,0.35,31
BOTZ39,2025-10-07,49.99,49.4,48.95,49.99,27
BHYG39,2025-10-07,53.85,54.05,53.85,54.09,4
MGLUV939,2025-10-07,0.86,0.73,0.73,0.88,20
LRENK135W2,2025-10-07,0.83,0.82,0.82,0.83,2
LRENJ147,2025-10-07,0.18,0.09,0.07,0.18,16
HPQB34,2025-10-07,141.54,142.2,140.04,142.2,16
MGLUV800W2,2025-10-07,0.09,0.03,0.03,0.09,7
IRBRV437,2025-10-07,0.09,0.09,0.09,0.09,1
LRENX141,2025-10-07,0.6,1,0.6,1,17
IRBRW360,2025-10-07,0.09,0.09,0.09,0.09,1
LRENV181,2025-10-07,4.09,4.28,4.07,4.3,18
FDMO34,2025-10-07,65.61,64.17,62.77,65.61,1860
MGLUV879,2025-10-07,0.45,0.38,0.38,0.48,18
MGLUW399,2025-10-07,30.2,30.13,30.13,30.2,2
LRENJ172,2025-10-07,0.02,0.01,0.01,0.02,6
LRENK140W1,2025-10-07,0.53,0.53,0.53,0.53,4
LRENM126,2025-10-07,0.38,0.5,0.38,0.5,4
MGLUK814,2025-10-07,1.2,1.27,1.17,1.27,32
MGLUW105,2025-10-07,2.09,2.04,2.03,2.15,13
MGLUW744,2025-10-07,0.33,0.33,0.33,0.33,2
MGLUV149,2025-10-07,6.08,5.98,5.98,6.08,2
IRBRK540,2025-10-07,0.7,0.7,0.7,0.7,2
COLD34,2025-10-07,23.88,23.92,23.62,23.92,4
IRBRV470W2,2025-10-07,0.21,0.21,0.21,0.21,2
MGLUW954,2025-10-07,1.36,1.25,1.25,1.38,13
MGLUX884,2025-10-07,1,0.8,0.8,1,2
MGLUW674,2025-10-07,0.2,0.17,0.17,0.2,4
MGLUW794,2025-10-07,0.47,0.46,0.46,0.51,7
MGLUJ900W2,2025-10-07,0.2,0.2,0.15,0.25,11
AZOI34,2025-10-07,100.49,100.49,100.49,100.49,1
MGLUJ829,2025-10-07,0.79,0.85,0.79,0.85,2
MGLUK130,2025-10-07,0.1,0.11,0.08,0.11,5
C1TA34,2025-10-07,212.73,212.73,212.73,212.73,1
IRBRW445,2025-10-07,0.85,0.91,0.85,0.91,8
LRENX152,2025-10-07,1.18,1.4,1.18,1.4,20
MGLUJ719,2025-10-07,1.72,1.72,1.72,1.72,1
MGLUJ669,2025-10-07,2.15,2.17,2.15,2.2,3
MGLUJ121,2025-10-07,0.02,0.02,0.02,0.02,4
IRBRJ490W2,2025-10-07,0.3,0.13,0.13,0.3,4
D1DG34,2025-10-07,82.22,82.42,82.22,82.42,2
D1HI34,2025-10-07,869.26,867.55,867.55,869.26,2
IRBRJ495,2025-10-07,0.4,0.34,0.33,0.4,4
MGLUJ799,2025-10-07,1,0.98,0.9,1.04,21
IRBRK520,2025-10-07,1.15,1.1,1.1,1.23,6
BQUA39,2025-10-07,69.86,69.85,69.85,69.86,2
IRBRW390,2025-10-07,0.2,0.2,0.2,0.2,1
C2AC34,2025-10-07,3.62,3.6,3.58,3.62,3
LRENK165,2025-10-07,0.17,0.13,0.13,0.17,11
MGLUJ779,2025-10-07,1.15,1.07,1.07,1.15,3
LRENX136,2025-10-07,0.66,0.66,0.66,0.66,1
BITO39,2025-10-07,78.96,78.32,77.92,78.96,14
A1FL34,2025-10-07,603,603,603,603,1
H2UB34,2025-10-07,46.44,46.44,46.44,46.44,19
BNDA39,2025-10-07,70.63,70.73,70.42,70.73,14
MGLUW110,2025-10-07,2.53,2.54,2.53,2.57,3
LRENV167,2025-10-07,2.34,2.8,2.34,2.8,9
MGLUH401,2025-10-07,0.07,0.07,0.07,0.07,1
LRENX159,2025-10-07,1.89,1.89,1.89,1.89,1
MGLUK128,2025-10-07,0.11,0.1,0.1,0.11,5
BARY39,2025-10-07,127.14,127.14,127.14,127.14,64
